Date,Cases,Deaths,Recovered,Travel_history,Province,City,Latitude (generated),Longitude (generated),Active Cases
2020-03-24,1,0,0,Local - Social Contact,Punjab,Multan,30.1735,71.469,1
2020-03-24,9,0,0,Local - Social Contact,Punjab,Gujrat,32.572,74.089,9
2020-03-24,3,0,0,Local - Social Contact,Punjab,Gujranwala,32.1547,74.1804,3
2020-03-24,1,0,0,Local - Social Contact,Punjab,Sargodha,32.0778,72.6722,1
2020-03-24,1,0,0,Local - Social Contact,Punjab,Faisalabad,31.4155,73.0908,1
2020-03-24,1,0,0,Local - Social Contact,Punjab,Mandi Bahauddin,32.583,73.484,1
2020-03-24,1,0,0,Local - Social Contact,Punjab,Rahim Yar Khan,28.424043,70.300054,1
2020-03-24,3,0,0,Local - Social Contact,Sindh,Karachi,24.8709,67.1145,3
2020-03-24,21,1,2,Iran/Taftan,Punjab,Dera Ghazi Khan,30.056,70.634,18
2020-03-25,5,0,0,International Passenger,Islamabad,Islamabad,33.7194,73.0741,5
2020-03-25,3,0,0,Local - Social Contact,Sindh,Karachi,24.8709,67.1145,3
2020-03-25,0,0,1,Local - Social Contact,Sindh,Hyderabad,25.3763,68.3432,-1
2020-03-25,9,0,0,Local - Social Contact,Balochistan,Quetta,30.1802,66.9964,9
2020-03-25,1,0,0,Unknown,Gilgit-Baltistan,Astore,35.347533,74.861062,1
2020-03-25,39,0,2,Unknown,Khyber Pakhtunkhwa,Mardan,34.198,72.045,37
2020-03-25,1,0,0,Iran/Taftan,Khyber Pakhtunkhwa,Dera Ismail Khan,31.832,70.902,1
2020-03-25,1,0,0,Unknown,Khyber Pakhtunkhwa,Swabi,34.12,72.472,1
2020-03-25,9,0,0,Local - Social Contact,Punjab,Gujrat,32.572,74.089,9
2020-03-25,1,0,0,Local - Social Contact,Punjab,Gujranwala,32.1547,74.1804,1
2020-03-25,2,1,0,Iran/Taftan,Punjab,Dera Ghazi Khan,30.056,70.634,1
2020-03-25,18,0,1,Unknown,Punjab,Lahore,31.4978,74.3601,17
2020-03-25,1,0,0,Local - Social Contact,Punjab,Multan,30.1735,71.469,1
2020-03-25,12,0,0,Iran/Taftan,Balochistan,Quetta,30.1802,66.9964,12
2020-03-25,7,0,0,Unknown,Gilgit-Baltistan,Kharmang,0.0,0.0,7
2020-03-25,1,0,0,Dubai,Gilgit-Baltistan,Kharmang,0.0,0.0,1
2020-03-26,2,0,0,Unknown,Khyber Pakhtunkhwa,Dir Upper,35.305038,72.096277,2
2020-03-26,1,0,0,Unknown,Khyber Pakhtunkhwa,Swat,35.429612,72.566529,1
2020-03-26,1,0,0,Unknown,AJK,Mirpur,33.118377,73.744818,1
2020-03-26,5,0,0,Unknown,Islamabad,Islamabad,33.7194,73.0741,5
2020-03-26,9,0,0,Local - Social Contact,Sindh,Karachi,24.8709,67.1145,9
2020-03-26,6,0,2,Local - Social Contact,Khyber Pakhtunkhwa,Mardan,34.198,72.045,4
2020-03-26,12,0,0,Iran/Taftan,Balochistan,Quetta,30.1802,66.9964,12
2020-03-26,7,0,2,Unknown,Gilgit-Baltistan,Skardu,35.317806,75.552296,5
2020-03-26,26,0,1,Unknown,Punjab,Lahore,31.4978,74.3601,25
2020-03-26,16,0,0,Iran/Taftan,Punjab,Multan,30.1735,71.469,16
2020-03-26,1,0,0,Local - Social Contact,Punjab,Gujrat,32.572,74.089,1
